timestamp,Basilea Temperature [2 m elevation corrected],Basilea Precipitation Total,Basilea FAO Reference Evapotranspiration [2 m]
20220127T1200,4.1505284,0,0.10494939
20220127T1300,5.7705283,0,0.1467181
20220127T1400,5.1605287,0,0.15877314
20220127T1500,5.9005284,0,0.16311659
20220127T1600,5.9005284,0,0.14469765
20220127T1700,5.6205287,0,0.105820715
20220127T1800,4.5805287,0,0.05142605
20220127T1900,3.0205286,0,0.026618239
20220127T2000,2.1705287,0,0.015512441
20220127T2100,2.6005285,0,0.012940504
20220127T2200,2.9805286,0.1,0.008938235
20220127T2300,2.9805286,1.2,0.014185257
20220128T0000,3.1905286,0,0.021697678
20220128T0100,3.1505284,0.1,0.02102193
20220128T0200,3.1105285,0,0.016418817
20220128T0300,3.1205285,0,0.011964035
20220128T0400,3.0605285,0,0.009653356
20220128T0500,2.9905286,0,0.00870858
20220128T0600,2.7205286,0,0.007429822
20220128T0700,2.5105286,0,0.006612154
20220128T0800,2.3205285,0,0.006055269
20220128T0900,2.0605285,0,0.002825794
20220128T1000,2.0305285,0,0.007124667
20220128T1100,2.7605286,0,0.049345426
20220128T1200,3.5605285,0,0.089473255
20220128T1300,4.5205283,0,0.12512547
20220128T1400,6.4605284,0,0.15286177
20220128T1500,7.1905284,0,0.15776664
20220128T1600,7.4805284,0,0.1477257
20220128T1700,7.3405285,0,0.11005287
20220128T1800,6.3605285,0,0.048802078
20220128T1900,4.7705283,0,0.017331481
20220128T2000,3.3205285,0,0.005387306
20220128T2100,2.4405286,0,0.000956759
20220128T2200,2.0705285,0,0
20220128T2300,2.0805285,0,2.95E-05
20220129T0000,1.6305287,0,0
20220129T0100,0.79052866,0,0
20220129T0200,1.3005286,0,0
