Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
30.19,17.38,5.48,33,71,1007.7,63,1483,3102,5766,0.05616,0.29149458,32.61,32.52002,0.125,28.203465,10.483357,105.9454,10.041354,104.534454,12.24,10.97262,138.9909,11.874544,165.96376,41.859188,243.43495,47.56906,219.47246,49290,8,0.132
12.42,2.26,-5.96,70,2,1018.0,148,1488,3030,5594,0.01296,0.018012024,8.86,10.740021,0.247,3.5378714,8.587338,213.02386,16.73516,251.1753,22.319998,36.40275,278.53076,38.526726,268.92917,17.873554,288.7999,61.56421,270.6701,6169,9,0.242
9.69,1.98,-3.11,78,1,1024.6,200,1533,3087,5683,0.00864,0.0,6.92,8.860016,0.3,2.2674217,2.968636,255.96376,9.007196,177.7094,11.5199995,10.390226,104.03624,9.346143,105.64224,11.966953,6.9112244,37.114933,8.365875,2424,4,0.301
20.0,22.05,10.77,50,0,1020.2,169,1575,3224,5940,0.0216,0.08166488,17.74,19.610016,0.207,10.537436,13.755579,137.1211,23.051247,128.6598,25.56,49.7595,107.25511,33.82659,106.69924,22.104116,83.453705,18.345877,74.054596,58513,9,0.203
0.42,-1.68,-6.54,44,0,1021.8,173,1466,2994,5539,0.02736,0.0947482,2.6,0.3999939,0.244,3.5899534,17.193533,109.57312,20.49156,108.434944,17.28,14.186923,125.70669,18.998316,117.0506,21.626984,87.137596,31.608328,52.869064,45417,3,0.248
27.51,14.79,5.04,43,764,1016.9,143,1551,3162,5818,0.28512,0.46890584,32.79,29.529999,0.278,21.558268,3.219938,333.43497,3.8773184,338.1986,3.96,3.096837,324.46234,4.3349743,311.63354,4.1046314,217.87498,11.367109,259.04596,3520,5,0.282
22.45,11.08,4.0,32,0,1021.5,182,1563,3157,5815,0.09072,0.4636189,29.8,29.27002,0.138,19.96299,24.503809,10.154266,27.887802,11.164871,23.759998,30.124065,14.534454,16.62249,17.650116,48.72916,17.631775,55.95771,338.88312,48401,7,0.147
9.42,0.52,-8.41,81,2,1014.6,121,1447,2979,5511,0.01728,0.003414534,7.89,8.420013,0.275,2.0775785,6.6087217,209.35776,11.246759,230.19443,17.28,25.929996,268.40887,19.602652,262.61395,25.683926,275.63068,16.179985,200.85446,51789,11,0.257
19.69,13.45,1.88,62,0,1018.1,152,1538,3139,5776,0.00288,0.020088432,15.2,15.240021,0.259,7.2263794,5.1919937,123.69006,8.669949,138.36646,5.3999996,12.738099,222.7094,18.947083,231.17018,65.23951,250.66519,86.270905,263.29016,40374,8,0.28
17.71,7.62,-1.73,76,321,1015.5,132,1496,3069,5674,0.06912,0.12784295,19.92,20.26001,0.227,4.874016,16.055355,312.27368,18.844202,313.45184,18.359999,21.794127,337.67133,20.60823,340.61548,5.495161,328.39252,8.669949,318.36646,57761,8,0.223
