timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
20220922T2000,14.140529,0.17252202,16.81,7.66,2.2,0,0,0,0,0,0,59,0,0,0,0,0,1020.4,171,1533,3114,5741,13.27,15.429993,6.5875216,7.127636,135,12.313894,127.874985,9.36,8.707237,150.25511,10.823973,266.1859,18.584509,314.2152,43.2015,359.52255
20220922T2100,12.850529,0.11877203,16.01,7.69,2.29,0,0,0,0,0,0,62,0,0,0,0,0,1020,166,1527,3110,5739,12.22,14.350006,5.613944,6.4096174,128.15723,11.480557,131.18591,12.599999,9.585739,145.71312,11.542478,266.42368,17.654688,309.2072,41.425034,358.00793
20220922T2200,11.710529,0.07127205,15.38,7.66,2.32,0,0,0,0,0,0,65,0,0,0,0,0,1020,165,1525,3110,5739,11.35,13.420013,4.7976713,7.491114,125.21759,15.1884165,121.429565,14.4,9.178235,154.44003,10.587917,252.18112,16.981165,302.00537,39.37353,355.27988
20220922T2300,10.8005295,0.033355396,14.66,7.65,2.2,0,0,0,0,0,0,68,0,0,0,0,0,1019.4,160,1519,3103,5733,10.62,12.630005,4.129925,7.9932966,125.83765,18.374111,124.62416,15.4800005,9.114471,170.90973,13.830749,231.3402,16.45007,293.1986,36.871452,350.4457
20220923T0000,10.120529,0.005022049,13.8,7.8,2.08,0,0,0,0,0,0,70,0,0,0,0,0,1020,164,1523,3106,5737,9.98,11.959991,3.700283,7.9036193,120.06859,20.26899,123.40782,15.119999,9.114471,189.09027,17.727943,240.83238,17.208603,285.78076,35.11061,344.5388
20220923T0100,9.570529,0,13.54,7.76,1.91,0,0,0,0,0,0,73,2.4,8,0,0,0,1020,164,1523,3105,5736,9.43,11.369995,3.2098398,9.19939,120.57922,21.889065,126.30449,14.759999,11.592894,216.15819,23.358425,245.40988,18.888851,277.6668,34.09373,338.31094
20220923T0200,9.080529,0,13.26,7.67,1.81,0,0,0,0,0,0,75,5.4,18,0,0,0,1019.4,158,1517,3098,5729,8.91,10.850006,2.8757544,10.315115,119.248825,21.889065,126.30449,11.5199995,13.779114,236.72511,25.44566,244.88516,20.892412,271.9749,31.487139,329.03625
20220923T0300,8.610529,0,12.92,8.06,1.75,0,0,0,0,0,0,76,5.4,18,0,0,0,1019.5,159,1516,3097,5728,8.43,10.380005,2.6745253,11.119281,119.054596,23.269482,124.9194,8.28,15.7908325,245.77226,31.999523,252.99207,22.346113,272.7702,32.33193,322.23694
20220923T0400,7.6905284,0,12.42,7.6,1.65,0,0,0,0,0,0,78,6.3,21,0,0,0,1019.6,158,1515,3095,5726,7.86,9.920013,2.303256,9.178235,115.55997,18.440998,128.6598,7.2,18.678415,242.44719,36.792282,253.51555,23.42491,272.64255,34.114628,315.8551
20220923T0500,6.7005286,0,11.36,7.28,1.54,0,0,0,0,0,0,82,5.1000004,17,0,0,0,1019.7,158,1513,3092,5724,7.21,9.399994,1.7611246,7.172949,107.52557,9.726664,141.009,8.28,24.86868,247.89056,39.12092,255.06857,25.264202,274.08563,35.406506,312.93988
20220923T0600,6.8905287,0,10.63,7.46,1.33,41.787373,30.26,8.503099,21.7569,0,0,80,4.8,16,0,0,0,1019.6,158,1511,3090,5723,8.4,9.149994,1.9824781,6.5693827,99.46232,6.4096174,141.84277,8.64,29.522196,254.43849,41.235325,257.90524,27.397867,273.0128,35.538033,309.65695
20220923T0700,9.430529,0,11.1,7.65,1.07,56.18182,186.01,57.006165,129.00383,0,0,72,6.3,21,0,0,0,1019.5,159,1513,3091,5725,11.95,10.170013,3.2975807,6.162207,96.70984,7.928177,129.47246,8.28,29.834423,261.67435,42.150757,259.16992,29.215502,273.5323,35.246925,304.177
20220923T0800,12.620529,0.10918871,12.43,7.63,0.73,55.81818,342.65,160.8856,181.76439,0,0,61,6.9,23,0,0,0,1019.1,158,1514,3093,5726,16.14,12.320007,5.6755896,5.815978,111.80141,5.634891,116.56505,11.159999,28.521906,265.65677,42.291954,258.21182,29.195534,272.82712,33.973778,295.7505
20220923T0900,15.110529,0.21293871,14.61,7.48,0.45,25.454548,411.18,253.97446,157.20554,0,0,54,57,100,57,11,19,1018.4,154,1513,3091,5724,20.02,14.830017,7.8680468,1.2979984,123.69006,2.0991426,149.03624,10.440001,31.32207,269.34146,42.724884,253.85567,29.522196,270.6987,33.033802,286.46002
20220923T1000,16.98053,0.2908554,16.32,8.64,0.14,0,429.87,308.40732,121.46268,0,0,53,100,91,53,100,0,1017.9,151,1513,3093,5724,22.67,17.080017,9.05766,0.35999998,270,1.08,180,12.599999,30.960001,270,44.80373,254.62375,30.960001,270,32.88635,275.02408
20220923T1100,18.55053,0.35627207,17.76,9.25,0.02,28.48485,617.66,383.80338,233.8566,0,0,55,52,49,52,0,0,1016.7,141,1507,3088,5718,25.2,19.75,9.573181,1.0182338,315,0.35999998,270,12.959999,16.299694,263.65982,43.659554,256.65128,31.68,270,33.510952,267.5372
20220923T1200,21.04053,0.46002206,20.36,8.77,0.34,41.21212,633.68,397.1858,236.49419,0,0,35,31,42,31,0,0,1015.5,131,1503,3084,5712,27.06,22,16.135786,4.1046314,285.25513,3.319036,282.5288,15.119999,14.113653,275.85602,32.59939,263.65982,39.26641,267.89835,42.48,270
20220923T1300,22.270529,0.511272,21.64,9.12,0.08,57.090908,620.33,375.43933,244.89067,0,0,33,4.8,16,0,0,0,1014.9,127,1503,3085,5711,27.85,23.600006,17.930815,6.519877,276.34018,6.5693827,279.46234,18.359999,11.879999,270,23.535301,263.8534,41.054203,268.49255,43.440826,260.45963
